AccessoriesUSD,AlfaUSD,AppLBP,AppUSD,CapitalUSD,CashLBP,CashUSD,ClientDebtsUSD,ComissionLBP,ComissionTotalLBP_Accumulated,ComissionTotalUSD_Accumulated,ComissionUSD,CountDate,CountTime,ExpensesUSD,Notes,OwnerWithdrawal,PNL_ID,PNL_ResultUSD,ReceivablesUSD,SystemLBP,SystemUSD,TouchUSD,USDT,isManual
"$13,738.99",$29.68,"$5,943,149.00",$790.51,"$10,000.00","$105,597,000.00","$9,765.00",$963.50,$0.00,,,$0.00,2025-06-12 00:00:00,1899-12-30 08:32:25,$22.78,Opening,,110,"$1,087.69",$19.00,"$112,534,552.50",$740.39,$8.20,$93.25,True
"$13,667.22",$109.40,"$3,700,949.00","$2,450.82","$10,000.00","$117,627,000.00","$7,332.00",$636.95,"$602,255.00",,,$11.05,2025-06-12 00:00:00,1899-12-30 22:03:16,$22.78,Closing,,114,"$1,349.31",$19.00,"$97,552.50","$3,218.67",$79.88,$417.99,True
"$13,412.90",$41.64,"$6,599,749.00",$18.06,"$10,000.00","$202,845,000.00","$7,177.30",$890.39,$0.00,,,$0.00,2025-06-14 00:00:00,1899-12-30 13:48:45,$22.78,Opening,,126,"$1,313.79",$19.00,"$92,404,552.50","$4,333.69",$51.28,$305.47,True
"$13,412.90",$41.64,"$6,599,749.00",$48.87,"$10,000.00","$206,965,000.00","$8,827.30",$890.39,$0.00,,,$0.00,2025-06-14 00:00:00,1899-12-30 14:06:58,$22.78,Checking,,127,"$1,314.60",$19.00,"$89,904,552.50","$2,623.69",$51.28,$305.47,True
"$13,605.95",$30.08,"$733,749.00",$836.71,"$10,000.00","$194,605,000.00","$5,601.30",$875.12,"$90,250.00",,,$19.76,2025-06-14 00:00:00,1899-12-30 20:25:00,$22.78,Closing,,133,"$1,339.44",$19.00,"$70,654,552.50","$5,120.69",$28.00,$428.17,True
"$13,593.94",$19.08,"$733,749.00",$366.71,"$10,000.00","$195,485,000.00","$6,149.00",$948.17,$0.00,,,$0.00,2025-06-16 00:00:00,1899-12-30 08:17:28,$22.78,Opening,,134,"$1,372.36",$19.00,"$70,654,552.00","$5,170.69",$28.00,$428.17,True
"$13,571.00",$97.08,"$1,645,949.00","$1,048.15","$10,000.00","$113,275,000.00","$5,694.00","$1,707.61",$0.00,,,$0.00,2025-06-16 00:00:00,1899-12-30 14:24:15,$22.78,Checking,,135,"$1,378.23",$19.00,"$100,086,552.50","$3,934.73",$19.52,"$1,032.37",True
"$13,571.00",$97.08,"$4,841,449.00",$138.15,"$10,000.00","$107,455,000.00","$7,543.30","$1,647.61",$0.00,,,$0.00,2025-06-16 00:00:00,1899-12-30 16:12:53,$22.78,Checking,,136,"$1,492.48",$19.00,"$80,526,552.00","$3,397.17",$19.52,"$1,032.37",True
"$13,564.83",$82.10,"$15,131,198.00",$0.58,"$10,000.00","$111,330,000.00","$11,598.23","$1,671.17","$254,102.00",,,$34.00,2025-06-16 00:00:00,1899-12-30 21:52:39,$22.78,Closing,,139,"$1,517.44",$19.00,"$50,206,552.50",$19.20,$19.52,$810.37,True
"$13,564.83",$82.10,"$15,131,198.00",$0.58,"$10,000.00","$111,331,000.00","$11,597.20","$1,671.17",$0.00,,,$0.00,2025-06-17 00:00:00,1899-12-30 08:18:00,$22.78,Opening,,140,"$1,516.43",$19.00,"$50,206,552.00",$19.20,$19.52,$810.37,True
"$13,541.89",$29.12,"$1,456,048.00",$0.58,"$10,000.00","$116,716,000.00","$8,823.95","$1,543.23",$0.00,,,$0.00,2025-06-17 00:00:00,1899-12-30 10:39:21,$22.78,Checking,,142,"$1,540.62",$19.00,"$67,153,552.50","$2,967.20",$19.52,$810.37,True
"$12,940.39",$44.84,"$491,248.00",$455.87,"$10,000.00","$127,160,000.00","$6,657.95","$2,148.28",$0.00,,,$0.00,2025-06-17 00:00:00,1899-12-30 18:56:07,$26.67,Checking,,149,"$1,598.03",$19.00,"$114,023,552.50","$4,239.96",$1.36,"$1,011.64",True
"$13,186.83",$44.84,"$9,722,548.00","$2,352.87","$10,000.00","$128,275,000.00","$4,220.00","$2,272.28","$258,055.00",,,$26.96,2025-06-17 00:00:00,1899-12-30 21:52:04,$26.67,Closing,,152,"$1,628.45",$19.00,"$64,023,552.50","$4,814.96",$1.36,"$1,009.63",True
"$13,186.83",$44.84,"$8,722,548.00","$2,322.87","$10,000.00","$128,355,000.00","$4,240.00","$2,272.28",$0.00,,,$0.00,2025-06-18 00:00:00,1899-12-30 08:15:14,$26.67,Opening,,153,"$1,628.23",$19.00,"$64,023,552.50","$4,834.96",$1.36,"$1,009.63",True
"$13,181.83",$36.34,"$575,548.00",$923.07,"$10,000.00","$127,385,000.00","$6,655.00","$2,683.28",$0.00,,,$0.00,2025-06-18 00:00:00,1899-12-30 10:35:09,$26.67,Checking,,155,"$1,637.22",$19.00,"$152,769,552.50","$2,719.96",$1.36,"$1,009.63",True
"$13,688.94",$6.58,"$10,235,848.00",$548.62,"$10,000.00","$124,020,000.00","$8,119.00","$2,120.06",$0.00,,,$0.00,2025-06-18 00:00:00,1899-12-30 14:07:44,$32.27,Checking,,156,"$1,681.07",$19.00,"$167,279,552.50","$2,642.05",$1.36,"$1,009.63",True
"$13,683.77",$2.80,"$5,160,148.00",$261.06,"$10,000.00","$133,115,000.00","$3,824.00","$2,110.62",$0.00,,,$0.00,2025-06-18 00:00:00,1899-12-30 16:49:59,$32.27,Checking,,157,"$1,705.00",$19.00,"$157,958,552.50","$5,077.05",$1.36,"$1,009.63",True
"$14,310.70",$2.80,"$2,320,148.00",$382.82,"$10,000.00","$133,380,000.00","$7,831.00",$936.23,"$367,355.00",,,$48.06,2025-06-18 00:00:00,1899-12-30 21:49:14,$32.27,Closing,,159,"$1,725.44",$19.00,"$142,558,552.50","$1,925.04",$1.36,"$1,009.63",True
"$14,310.70",$2.80,"$2,320,148.00",$332.82,"$10,000.00","$134,280,000.00","$7,871.00",$936.23,$0.00,,,$0.00,2025-06-19 00:00:00,1899-12-30 08:20:04,$32.27,Opening,,160,"$1,725.44",$19.00,"$142,558,552.00","$1,925.04",$1.36,"$1,009.63",True
"$14,310.70",$2.80,"$4,985,398.00",$224.62,"$10,000.00","$302,900,000.00","$7,069.00","$1,096.34",$0.00,,,$0.00,2025-06-19 00:00:00,1899-12-30 10:34:13,$32.27,Checking,,161,"$1,738.14",$19.00,"$33,714,552.50","$1,994.04",$1.36,"$1,009.63",True
"$13,880.76",$2.80,"$906,398.00",$0.87,"$10,000.00","$173,720,000.00","$6,066.00","$1,089.45",$0.00,,,$0.00,2025-06-19 00:00:00,1899-12-30 13:46:19,$52.27,Checking,,162,"$1,773.27",$19.00,"$169,844,552.50","$3,590.86",$1.36,"$1,009.63",True
"$14,254.17",$2.80,"$185,148.00",$287.53,"$10,000.00","$102,540,000.00","$5,620.00","$1,429.95",$0.00,,,$0.00,2025-06-19 00:00:00,1899-12-30 17:59:12,$52.27,Checking,,163,"$1,794.85",$19.00,"$97,214,552.50","$4,330.86",$1.36,$873.29,True
"$14,130.38",$2.80,"$754,798.00",$731.64,"$10,000.00","$113,925,000.00","$6,306.00","$1,091.12","$535,150.00",,,$63.69,2025-06-19 00:00:00,1899-12-30 21:54:37,$52.27,Closing,,165,"$1,824.27",$19.00,"$87,214,552.50","$4,240.86",$1.36,$980.19,True
"$14,128.88",$2.80,"$5,385,548.00",$621.04,"$10,000.00","$113,450,000.00","$6,389.00","$1,138.00",$0.00,,,$0.00,2025-06-20 00:00:00,1899-12-30 10:47:52,$52.27,Opening,,168,"$1,824.27",$19.00,"$167,734,552.50","$3,191.86",$1.36,$980.19,True
"$14,043.99",$2.80,"$2,030,548.00",$33.30,"$10,000.00","$31,325,000.00","$8,275.00","$1,377.03",$0.00,,,$0.00,2025-06-20 00:00:00,1899-12-30 16:55:11,$52.27,Checking,,169,"$1,887.51",$19.00,"$68,164,552.50","$3,211.86",$1.36,"$1,184.19",True
"$14,025.49",$2.40,"$25,883,548.00",$355.30,"$10,000.00","$8,470,000.00","$10,652.00","$1,766.47",$0.00,,,$0.00,2025-06-20 00:00:00,1899-12-30 19:11:44,$52.27,Checking,,171,"$1,887.51",$19.00,"$68,164,552.50",$507.86,$1.36,"$1,184.19",True
"$14,031.43",$2.40,"$8,098,548.00","$1,030.30","$10,000.00","$28,785,000.00","$9,317.00","$1,496.45","$773,700.00",,,$46.19,2025-06-20 00:00:00,1899-12-30 21:52:55,$52.27,Closing,,172,"$1,923.49",$19.00,"$61,964,552.50",$663.02,$1.36,"$1,490.03",True
"$13,987.70",$2.80,"$8,719,948.00","$1,331.50","$10,000.00","$74,005,000.00","$5,208.00","$1,421.45",$0.00,,,$0.00,2025-06-21 00:00:00,1899-12-30 12:43:38,$52.27,Opening,,173,"$1,923.49",$19.00,"$60,004,552.50","$4,282.67",$6.36,"$1,643.03",True
"$13,987.71",$2.80,"$8,719,948.00","$1,331.50",$0.00,"$74,005,000.00","$5,208.00","$1,421.45",$0.00,,,$0.00,2025-06-21 00:00:00,1899-12-30 12:43:38,$52.27,Checking,,174,"$1,976.59",$19.00,"$60,004,552.50","$4,282.67",$6.36,"$1,643.03",True
"$14,184.20",$8.16,"$8,700,198.00",$200.23,"$10,000.00","$73,095,000.00","$9,019.20","$1,680.78","$313,805.00",,,$16.97,2025-06-21 00:00:00,1899-12-30 21:35:35,$452.27,Closing,,175,"$2,017.98",$19.00,"$12,779,552.50","$1,268.47",$78.36,"$1,632.03",True
"$14,184.20",$8.16,"$8,700,198.00",$200.23,"$10,000.00","$73,095,000.00","$9,019.20","$1,680.78",$0.00,,,$0.00,2025-06-23 00:00:00,1899-12-30 08:20:53,$452.27,Opening,,176,"$2,017.98",$19.00,"$12,779,552.00","$1,268.47",$78.36,"$1,632.03",True
"$14,187.44",$14.16,"$5,293,098.00",$119.52,"$10,000.00","$105,325,000.00","$5,085.00","$1,618.39",$0.00,,,$0.00,2025-06-23 00:00:00,1899-12-30 12:24:06,$452.27,Checking,,177,"$2,050.87",$19.00,"$119,511,552.50","$4,347.65",$77.20,$932.03,True
"$14,146.19",$3.60,"$5,593,848.00",$495.31,"$10,000.00","$107,700,000.00","$5,109.00","$1,521.73",$0.00,,,$0.00,2025-06-23 00:00:00,1899-12-30 17:54:35,$452.27,Checking,,178,"$2,098.23",$19.00,"$50,567,552.50","$5,021.65",$77.18,$932.03,True
"$14,139.52",$3.60,"$1,866,448.00",$166.31,"$10,000.00","$100,795,000.00","$9,029.00",$922.28,$0.00,,,$0.00,2025-06-23 00:00:00,1899-12-30 21:14:27,$452.27,Checking,,179,"$2,105.06",$19.00,"$39,567,552.50","$2,405.66",$77.18,$932.03,True
"$14,218.77",$3.60,"$1,101,448.00",$66.31,"$10,000.00","$100,895,000.00","$9,159.00",$823.39,"$385,336.00",,,$41.18,2025-06-23 00:00:00,1899-12-30 21:45:06,$452.27,Closing,,181,"$2,108.70",$19.00,"$39,567,552.50","$2,365.66",$77.18,$932.03,True
"$14,218.77",$3.60,"$9,571,448.00",$6.31,"$10,000.00","$102,545,000.00","$10,122.00",$973.39,$0.00,,,$0.00,2025-06-24 00:00:00,1899-12-30 08:29:48,$452.27,Opening,,182,"$2,109.51",$19.00,"$27,917,552.50","$1,330.65",$77.18,$932.03,True
"$14,203.35",$2.46,"$4,440,448.00","$1,130.41","$10,000.00","$101,595,000.00","$5,227.00","$1,113.39",$0.00,,,$0.00,2025-06-24 00:00:00,1899-12-30 13:02:18,$463.38,Checking,,183,"$2,154.55",$19.00,"$118,557,552.50","$4,016.66",$77.18,$862.03,True
"$14,178.20",$2.46,"$7,730,448.00",$74.56,"$10,000.00","$93,075,000.00","$4,501.00","$1,114.78",$0.00,,,$0.00,2025-06-24 00:00:00,1899-12-30 16:31:59,$463.38,Checking,,184,"$2,199.83",$19.00,"$104,629,552.50","$6,883.65",$77.18,$61.03,True
"$14,133.74",$2.46,"$3,962,948.00","$2,176.45","$10,000.00","$88,200,000.00","$4,845.00","$1,167.78","$839,120.00",,,$33.06,2025-06-24 00:00:00,1899-12-30 21:46:10,$471.63,Closing,,186,"$2,284.69",$19.00,"$56,742,552.50","$5,096.65",$77.18,$61.03,True
"$14,133.74",$2.46,"$2,090,948.00","$2,176.45","$10,000.00","$88,420,000.00","$4,865.60","$1,167.78",$0.00,,,$0.00,2025-06-25 00:00:00,1899-12-30 08:22:04,$471.63,Opening,,187,"$2,286.73",$19.00,"$56,742,552.50","$5,096.65",$77.18,$61.03,True
"$14,058.74",$144.96,"$2,318,198.00",$34.71,"$10,000.00","$106,525,000.00","$5,648.25","$2,138.06",$0.00,,,$0.00,2025-06-25 00:00:00,1899-12-30 15:32:31,$471.63,Checking,,188,"$2,369.38",$19.00,"$99,068,552.50","$4,705.45",$77.18,$289.04,True
"$14,019.64",$140.68,"$8,924,948.00",$73.11,"$10,000.00","$121,555,000.00","$10,423.25","$1,959.06",$0.00,,,$0.00,2025-06-25 00:00:00,1899-12-30 17:59:17,$471.63,Checking,,189,"$2,402.21",$19.00,"$57,148,552.50",$464.45,$77.18,$289.04,True
"$14,771.80",$102.40,"$8,587,948.00",$349.94,"$10,000.00","$64,335,000.00","$3,917.00","$1,830.84","$312,520.00",,,$58.67,2025-06-25 00:00:00,1899-12-30 21:43:56,$471.63,Closing,,190,"$2,441.88",$19.00,"$106,148,552.50","$6,219.85",$77.18,$289.04,True
"$14,771.80",$102.40,"$8,587,948.00",$349.94,"$10,000.00","$64,335,000.00","$3,917.00","$1,830.84",$0.00,,,$0.00,2025-06-26 00:00:00,1899-12-30 08:23:15,$471.63,Opening,,191,"$2,441.88",$19.00,"$106,148,552.50","$6,219.85",$77.18,$289.04,True
"$14,771.80",$102.40,"$8,119,948.00",$79.94,"$10,000.00","$64,135,000.00","$7,259.00","$1,842.04",$0.00,,,$0.00,2025-06-26 00:00:00,1899-12-30 10:25:23,$491.41,Checking,,192,"$2,467.79",$19.00,"$84,648,552.50","$3,391.86",$77.18,$289.04,True
"$14,978.62",$102.40,"$5,149,248.00",$55.31,"$10,000.00","$54,340,000.00","$7,038.00","$2,057.17",$0.00,,,$0.00,2025-06-26 00:00:00,1899-12-30 17:11:00,$598.52,Checking,,194,"$2,483.90",$19.00,"$69,423,552.50","$3,598.86",$66.54,$169.04,True
"$14,783.45",$98.90,"$640,248.00",$67.02,"$10,000.00","$66,935,000.00","$6,392.00","$2,374.28","$199,715.00",,,$37.02,2025-06-26 00:00:00,1899-12-30 21:51:36,$698.52,Closing,,196,"$2,499.82",$19.00,"$60,843,552.50","$4,114.22",$64.38,$153.04,True
"$14,783.45",$98.90,"$640,248.00",$87.42,"$10,000.00","$66,035,000.00","$4,968.00","$2,274.28",$0.00,,,$0.00,2025-06-27 00:00:00,1899-12-30 10:43:15,$698.52,Opening,,197,"$2,502.96",$19.00,"$195,843,552.50","$4,114.22",$64.38,$153.04,True
"$14,783.45",$93.62,"$8,730,248.00","$2,784.11","$10,000.00","$211,405,000.00","$1,156.00","$2,274.28",$0.00,,,$0.00,2025-06-27 00:00:00,1899-12-30 10:48:36,$698.52,Checking,,198,"$2,546.62",$19.00,"$39,233,552.50","$5,314.22",$64.38,$153.04,True
"$14,768.25",$75.92,"$5,620,248.00",$19.11,"$10,000.00","$94,725,000.00","$3,417.00","$2,486.17",$0.00,,,$0.00,2025-06-27 00:00:00,1899-12-30 17:21:09,$698.52,Checking,,199,"$2,576.93",$169.00,"$119,185,552.50","$5,772.41",$50.08,$153.04,True
"$14,780.75",$75.92,"$6,773,748.00",$121.87,"$10,000.00","$95,235,000.00","$8,855.00","$1,901.89","$369,440.00",,,$31.48,2025-06-27 00:00:00,1899-12-30 21:45:48,$698.52,Closing,,200,"$2,614.23",$235.00,"$95,575,552.50","$1,304.41",$50.08,$42.04,True
"$14,780.75",$75.92,"$6,008,748.00",$105.87,"$10,000.00","$93,655,000.00","$4,635.00","$1,851.89",$0.00,,,$0.00,2025-06-28 00:00:00,1899-12-30 08:55:05,$698.52,Opening,,201,"$2,618.73",$235.00,"$168,275,552.50","$4,804.41",$50.08,$42.04,True
"$14,767.75",$72.78,"$5,618,748.00",$81.87,"$10,000.00","$191,780,000.00","$5,898.00","$1,851.89",$0.00,,,$0.00,2025-06-28 00:00:00,1899-12-30 11:42:30,$698.52,Checking,,202,"$2,635.12",$235.00,"$151,475,552.50","$2,615.78",$50.08,$42.04,True
"$14,767.75",$64.28,"$9,853,748.00",$714.02,"$10,000.00","$176,595,000.00","$3,535.00","$1,851.89",$0.00,,,$0.00,2025-06-28 00:00:00,1899-12-30 13:07:34,$698.52,Checking,,204,"$2,658.44",$244.00,"$151,475,552.00","$4,515.75",$45.68,$42.04,True
"$14,596.91",$10.02,"$9,713,974.00",$90.72,"$10,000.00","$183,740,000.00","$7,999.00","$1,838.84","$128,995.00",,,$32.12,2025-06-28 00:00:00,1899-12-30 20:02:15,$698.52,Closing,,205,"$2,725.33",$244.00,"$114,440,552.50","$1,441.55",$31.88,$42.04,True
"$14,575.45",$10.02,"$4,237,474.00",$761.08,"$10,000.00","$127,100,000.00","$6,485.00","$2,571.22",$0.00,,,$0.00,2025-06-30 00:00:00,1899-12-30 11:46:27,$698.52,Opening,,206,"$2,725.33",$244.00,"$127,888,552.50","$1,875.55",$3.42,$42.04,True
"$14,575.45",$10.02,"$4,237,474.00",$761.08,"$10,000.00","$127,100,000.00","$6,485.00","$2,571.22",$0.00,,,$0.00,2025-06-30 00:00:00,1899-12-30 11:46:27,$698.52,Checking,,207,"$2,770.76",$244.00,"$127,888,552.50","$1,875.55",$3.42,$42.04,True
"$14,510.39",$16.02,"$1,559,224.00","$2,210.41","$10,000.00","$108,085,000.00","$4,268.00","$2,623.17","$297,660.00",,,$72.44,2025-06-30 00:00:00,1899-12-30 22:09:53,$768.52,Closing,,208,"$2,938.09","$2,094.00","$60,528,552.50","$3,906.40",$66.82,$941.76,True
"$14,510.39",$16.02,"$153,474.00","$2,210.41","$10,000.00","$103,485,000.00","$4,495.98","$2,542.28",$0.00,,,$0.00,2025-07-01 00:00:00,1899-12-30 08:37:06,$768.52,Opening,,209,"$2,926.85","$2,094.00","$53,658,552.50","$3,906.41",$54.02,$941.76,True
"$14,414.26",$1.32,"$31,997,624.00",$11.13,"$10,000.00","$49,285,000.00","$6,691.00","$3,081.95",$0.00,,,$0.00,2025-07-01 00:00:00,1899-12-30 16:20:00,$768.52,Checking,,210,"$3,124.70","$2,094.00","$99,576,552.50","$2,936.93",$6.62,"$1,541.64",True
"$14,415.05",$1.32,"$8,836,174.00",$125.40,"$10,000.00","$37,410,000.00","$5,819.00","$3,157.77","$427,090.00",,,$48.87,2025-07-01 00:00:00,1899-12-30 21:52:27,$768.52,Closing,,211,"$3,239.09","$2,164.00","$198,663,552.50","$3,000.93",$77.46,"$1,541.64",True
"$14,389.05",$1.32,"$6,726,174.00",$927.90,"$10,000.00","$45,160,000.00","$5,472.00","$2,653.77",$0.00,,,$0.00,2025-07-02 00:00:00,1899-12-30 09:53:36,$768.52,Opening,,212,"$3,239.09","$2,164.00","$194,922,817.50","$4,321.09",$74.30,"$1,541.64",True
"$14,368.42",$1.32,"$8,155,574.00",$341.64,"$10,000.00","$122,155,000.00","$6,453.00","$3,063.83",$0.00,$0.00,$0.00,$0.00,2025-07-02 00:00:00,1899-12-30 18:31:08,$778.46,Checking,,215,"$4,569.30",$454.00,"$110,338,817.50","$1,853.09",$70.98,"$1,443.64",True
"$14,368.92",$1.32,"$7,985,224.00",$628.27,"$10,000.00","$134,515,000.00","$8,191.00","$2,341.05","$436,930.00",$0.00,$0.00,$98.29,2025-07-02 00:00:00,1899-12-30 21:53:58,$778.46,Closing,,217,"$4,597.63",$454.00,"$66,538,817.50",$769.04,$68.82,"$1,443.64",True
"$14,368.92",$1.32,"$7,985,224.00",$628.27,"$10,000.00","$134,515,000.00","$6,841.00","$1,755.05",$0.00,$0.00,$0.00,$0.00,2025-07-03 00:00:00,1899-12-30 07:53:57,$778.46,Opening,,218,"$2,647.63",$454.00,"$66,538,817.00",$769.04,$68.82,"$1,443.64",True
"$15,198.97",$70.18,"$6,117,824.00","$2,140.74","$10,000.00","$136,884,000.00","$3,421.00","$1,296.72","$580,489.00",$0.00,$0.00,$48.96,2025-07-03 00:00:00,1899-12-30 22:10:09,$778.46,Closing,,219,"$2,910.61",$266.00,"$97,166,817.50","$2,943.80",$53.86,$240.34,True
"$15,192.50",$67.04,"$3,659,574.00",$652.74,"$10,000.00","$179,294,000.00","$3,141.00","$1,296.72",$0.00,$0.00,$0.00,$0.00,2025-07-04 00:00:00,1899-12-30 11:16:07,$778.46,Opening,,220,"$2,949.01",$311.00,"$161,796,817.50","$3,796.15",$53.86,$240.34,True
"$15,114.26",$112.56,"$2,658,074.00","$1,391.09","$10,000.00","$187,584,000.00","$1,220.00","$1,699.17","$188,805.00",$0.00,$0.00,$46.56,2025-07-04 00:00:00,1899-12-30 22:03:08,"$1,113.46",Closing,,221,"$3,378.65",$275.00,"$80,247,817.50","$5,740.53",$30.58,$129.34,True
"$15,100.86",$110.42,"$14,458,474.00","$3,639.09","$10,000.00","$185,409,000.00","$1,785.00","$1,789.17",$0.00,$0.00,$0.00,$0.00,2025-07-05 00:00:00,1899-12-30 12:25:50,"$1,113.46",Opening,,222,"$3,190.65","$4,015.00","$188,597,817.50","$5,133.56",$30.58,$129.34,True
"$14,917.90",$165.14,"$38,070,124.00","$1,462.15","$10,000.00","$158,435,000.00","$4,345.00","$1,265.61","$436,010.00",$0.00,$0.00,$12.42,2025-07-05 00:00:00,1899-12-30 21:42:37,$0.00,Closing,,223,"$2,207.45","$3,378.00","$137,837,817.50","$6,554.12",$20.44,$129.34,True
"$14,917.90",$154.14,"$38,070,124.00","$1,412.15","$10,000.00","$158,435,000.00","$4,501.00","$1,164.61",$0.00,$0.00,$0.00,$0.00,2025-07-07 00:00:00,1899-12-30 08:11:01,$0.00,Opening,,224,"$2,207.45","$3,378.00","$137,837,817.50","$6,554.12",$20.44,$129.34,True
"$14,870.98",$72.24,"$8,923,824.00","$1,076.61","$10,000.00","$173,144,000.00","$7,603.00","$1,177.83","$282,497.00",$0.00,$0.00,$79.35,2025-07-07 00:00:00,1899-12-30 21:57:58,$0.00,Closing,,225,"$2,324.97","$4,580.00","$16,042,817.50","$6,725.52",$3.42,$21.34,True
"$14,886.72",$31.84,"$6,852,324.00",$270.61,"$10,000.00","$196,714,000.00","$9,467.00","$1,136.72",$0.00,$0.00,$0.00,$0.00,2025-07-08 00:00:00,1899-12-30 10:54:24,$0.00,Opening,,226,"$2,349.30","$4,878.00","$126,960,817.50","$4,695.52",$0.61,$21.34,True
